date,day,month,altitude,depth,probability
13.mar,13,3,50,11.354,0.517241379
13.mar,13,3,150,25.14736842,0.655172414
13.mar,13,3,250,40.18352941,0.75862069
13.mar,13,3,350,63.13181818,0.965517241
13.mar,13,3,450,69.44354839,1
13.mar,13,3,550,70.81666667,1
14.mar,14,3,50,10.378,0.517241379
14.mar,14,3,150,23.18045113,0.655172414
14.mar,14,3,250,37.88823529,0.75862069
14.mar,14,3,350,62.99818182,0.965517241
14.mar,14,3,450,68.81612903,1
14.mar,14,3,550,71.81666667,1
15.mar,15,3,50,10.03,0.517241379
15.mar,15,3,150,22.32556391,0.620689655
15.mar,15,3,250,34.61882353,0.75862069
15.mar,15,3,350,62.79545455,0.965517241
15.mar,15,3,450,68.46774194,1
15.mar,15,3,550,70,1
16.mar,16,3,50,9.408,0.448275862
16.mar,16,3,150,22.09473684,0.620689655
16.mar,16,3,250,32.22235294,0.724137931
16.mar,16,3,350,64.03363636,0.965517241
16.mar,16,3,450,68.26612903,1
16.mar,16,3,550,71.06666667,1
17.mar,17,3,50,5.61,0.413793103
17.mar,17,3,150,20.78345865,0.620689655
17.mar,17,3,250,31.96117647,0.724137931
17.mar,17,3,350,65.90545455,0.965517241
17.mar,17,3,450,69.68064516,1
17.mar,17,3,550,70.45,1
18.mar,18,3,50,3.406,0.413793103
18.mar,18,3,150,18.18345865,0.620689655
18.mar,18,3,250,31.44352941,0.724137931
18.mar,18,3,350,64.84181818,0.965517241
18.mar,18,3,450,71.19354839,0.965517241
18.mar,18,3,550,72.98333333,1
19.mar,19,3,50,3.306,0.413793103
19.mar,19,3,150,17.74736842,0.620689655
19.mar,19,3,250,28.22588235,0.724137931
19.mar,19,3,350,64.45272727,0.965517241
19.mar,19,3,450,70.64354839,0.965517241
19.mar,19,3,550,76.53333333,1
20.mar,20,3,50,3.472,0.413793103
20.mar,20,3,150,15.59398496,0.586206897
20.mar,20,3,250,31.33882353,0.724137931
20.mar,20,3,350,64.11636364,0.965517241
20.mar,20,3,450,70.87903226,0.965517241
20.mar,20,3,550,76.68333333,1
21.mar,21,3,50,4.152,0.413793103
21.mar,21,3,150,14.25488722,0.586206897
21.mar,21,3,250,31.14235294,0.75862069
21.mar,21,3,350,63.73636364,0.931034483
21.mar,21,3,450,70.51612903,0.965517241
21.mar,21,3,550,76.2,1
22.mar,22,3,50,3.396,0.379310345
22.mar,22,3,150,12.78571429,0.586206897
22.mar,22,3,250,30.96352941,0.724137931
22.mar,22,3,350,64.31,0.931034483
22.mar,22,3,450,71.07096774,0.965517241
22.mar,22,3,550,77,1
23.mar,23,3,50,2.906,0.344827586
23.mar,23,3,150,12.63609023,0.551724138
23.mar,23,3,250,30.78941176,0.724137931
23.mar,23,3,350,64.05636364,0.931034483
23.mar,23,3,450,68.49354839,0.965517241
23.mar,23,3,550,75.41666667,1
24.mar,24,3,50,2.806,0.344827586
24.mar,24,3,150,12.23383459,0.586206897
24.mar,24,3,250,30.61882353,0.724137931
24.mar,24,3,350,64.26636364,0.896551724
24.mar,24,3,450,70.74032258,0.965517241
24.mar,24,3,550,74.86666667,1
25.mar,25,3,50,2.554,0.344827586
25.mar,25,3,150,11.04210526,0.517241379
25.mar,25,3,250,29.92,0.724137931
25.mar,25,3,350,63.96181818,0.896551724
25.mar,25,3,450,70.29032258,0.931034483
25.mar,25,3,550,74.43333333,1
26.mar,26,3,50,2.606,0.379310345
26.mar,26,3,150,10.53984962,0.517241379
26.mar,26,3,250,27.47647059,0.689655172
26.mar,26,3,350,62.58454545,0.896551724
26.mar,26,3,450,71.75,0.931034483
26.mar,26,3,550,75.55,1
27.mar,27,3,50,2.506,0.344827586
27.mar,27,3,150,10.39924812,0.551724138
27.mar,27,3,250,27.36705882,0.689655172
27.mar,27,3,350,59.52,0.896551724
27.mar,27,3,450,71.08225806,0.896551724
27.mar,27,3,550,74.35,1
28.mar,28,3,50,2.41,0.344827586
28.mar,28,3,150,10.81879699,0.517241379
28.mar,28,3,250,27.22588235,0.655172414
28.mar,28,3,350,61.33454545,0.862068966
28.mar,28,3,450,69.02903226,0.896551724
28.mar,28,3,550,71.85,1
29.mar,29,3,50,0.178,0.344827586
29.mar,29,3,150,10.8924812,0.517241379
29.mar,29,3,250,27.09294118,0.620689655
29.mar,29,3,350,64.38090909,0.862068966
29.mar,29,3,450,78.14516129,0.896551724
29.mar,29,3,550,79.43333333,1
30.mar,30,3,50,0.07,0.275862069
